5,Th?i gian tôi dành cho v? th?t ??c bi?t ??i v?i chúng tôi.,Dành time cho nhau
6,Chúng tôi không có th?i gian ? nhà nh? là ??i tác.,Dành time cho nhau
8,Tôi t?n h??ng k? ngh? c?a chúng tôi v?i v? tôi.,Dành time cho nhau
9,Tôi thích ?i du l?ch cùng v?.,Dành time cho nhau
23,Tôi bi?t món ?n yêu thích c?a v? / ch?ng tôi.,Hi?u nhau
24,Tôi có th? nói cho b?n bi?t lo?i c?ng th?ng mà v? / ch?ng tôi ?ang ph?i ??i m?t trong cu?c s?ng c?a cô ?y / anh ?y.,Hi?u nhau
25,Tôi có ki?n ??th?c v? th? gi?i n?i tâm c?a v? / ch?ng tôi.,Hi?u nhau
26,Tôi bi?t nh?ng lo l?ng c? b?n c?a v? / ch?ng tôi.,Hi?u nhau
27,Tôi bi?t ngu?n c?ng th?ng hi?n t?i c?a v? / ch?ng tôi là gì.,Hi?u nhau
28,Tôi bi?t hy v?ng và mong mu?n c?a v? / ch?ng tôi.,Hi?u nhau
21,Tôi bi?t chính xác nh?ng gì v? tôi thích.,Hi?u nhau
22,Tôi bi?t ng??i ph?i ng?u c?a tôi mu?n ???c ch?m sóc nh? th? nào khi cô ?y / anh ?y b? ?m.,Hi?u nhau
50,Tôi th?c s? không ph?i là ng??i có t?i v? nh?ng gì tôi b? cáo bu?c.,Quan ?i?m
51,Tôi không ph?i là ng??i sai v? các v?n ?? ? nhà.,Quan ?i?m
11,"Tôi ngh? r?ng m?t ngày nào ?ó trong t??ng lai, khi tôi nhìn l?i, tôi th?y r?ng v? / ch?ng tôi và tôi ?ã hòa h?p v?i nhau.",Quan ?i?m
12,V? ch?ng tôi và tôi có nh?ng giá tr? t??ng t? nhau v? quy?n t? do cá nhân.,Quan ?i?m
20,V? ch?ng tôi và tôi có giá tr? t??ng t? trong ni?m tin.,Quan ?i?m
13,V? ch?ng tôi và tôi có cùng c?m giác gi?i trí.,Quan ?i?m
14," H?u h?t các m?c tiêu c?a chúng tôi cho m?i ng??i (tr? em, b?n bè, v.v.) ??u gi?ng nhau.",Quan ?i?m
15,??c m? c?a chúng tôi v?i ng??i ph?i ng?u c?a tôi t??ng t? và hài hòa.,Quan ?i?m
18,V? ch?ng tôi và tôi có nh?ng ý t??ng t??ng t? v? vi?c hôn nhân nên nh? th? nào,Quan ?i?m
19,V? ch?ng tôi và tôi có nh?ng ý t??ng t??ng t? v? vai trò c?a mình trong hôn nhân,Quan ?i?m
17,Chúng tôi có cùng quan ?i?m v? vi?c h?nh phúc trong cu?c s?ng c?a chúng tôi v?i ng??i ph?i ng?u c?a tôi,Quan ?i?m
16,Chúng tôi t??ng thích v?i ng??i ph?i ng?u c?a tôi v? tình yêu nên là gì.,Quan ?i?m
48,Tôi c?m th?y ?úng trong các cu?c th?o lu?n c?a chúng tôi.,Quan ?i?m
30,Tôi bi?t b?n bè c?a v? / ch?ng tôi và các m?i quan h? xã h?i c?a h?.,S? hòa h?p
2,"Tôi bi?t chúng ta có th? b? qua s? khác bi?t c?a mình, ngay c? khi ?ôi khi m?i th? tr? nên khó kh?n.",S? hòa h?p
7,Chúng tôi gi?ng nh? hai ng??i xa l? có chung môi tr??ng ? nhà h?n là gia ?ình.,S? hòa h?p
10,H?u h?t các m?c tiêu c?a chúng tôi là chung cho v? / ch?ng tôi.,S? hòa h?p
31,Tôi c?m th?y hung h?ng khi cãi nhau v?i v? / ch?ng.,S? hòa h?p
38,Tôi ghét cách v? / ch?ng c?a tôi m? m?t ch? ??.,S? hòa h?p
41,"Khi tôi nói chuy?n v?i ng??i ph?i ng?u c?a mình v? ?i?u gì ?ó, s? bình t?nh c?a tôi ??t nhiên b? phá v?.",S? hòa h?p
44,?ôi khi tôi ngh? r?ng t?t ?? tôi r?i kh?i nhà m?t lúc.,S? hòa h?p
45,Tôi thà im l?ng h?n là th?o lu?n v?i v? / ch?ng tôi.,S? hòa h?p
39,Các cu?c th?o lu?n c?a chúng tôi th??ng x?y ra ??t ng?t.,S? hòa h?p
40,Chúng ta ch? b?t ??u m?t cu?c th?o lu?n tr??c khi tôi bi?t chuy?n gì ?ang x?y ra.,S? hòa h?p
46,"??Ngay c? khi tôi ?úng trong cu?c th?o lu?n, tôi v?n im l?ng ?? làm t?n th??ng ng??i ph?i ng?u c?a mình.",S? hòa h?p
47,"Khi tôi th?o lu?n v?i ng??i ph?i ng?u c?a mình, tôi im l?ng vì tôi s? không th? ki?m ch? c?n gi?n c?a mình.",S? hòa h?p
49,Tôi không có gì ?? làm v?i nh?ng gì tôi ?ã b? cáo bu?c.,S? hòa h?p
29,Tôi bi?t ng??i ph?i ng?u c?a mình r?t t?t.,S? hòa h?p
1,"N?u m?t trong s? chúng tôi xin l?i khi cu?c th?o lu?n c?a chúng tôi x?u ?i, cu?c th?o lu?n k?t thúc.",Th?o lu?n
3,"Khi chúng tôi c?n, chúng tôi có th? th?o lu?n v?i v? / ch?ng c?a tôi ngay t? ??u và s?a nó.",Th?o lu?n
4,"Khi tôi th?o lu?n v?i ng??i ph?i ng?u c?a mình, ?? liên l?c v?i anh ta cu?i cùng s? làm vi?c.",Th?o lu?n
32,"Khi th?o lu?n v?i ng??i ph?i ng?u c?a tôi, tôi th??ng s? d?ng các thành ng? nh? 'b?n luôn luôn' ho?c 'b?n không bao gi?'.",Th?o lu?n
33,Tôi có th? s? d?ng nh?ng tuyên b? tiêu c?c v? tính cách c?a v? / ch?ng tôi trong các cu?c th?o lu?n c?a chúng tôi.,Th?o lu?n
34,Tôi có th? s? d?ng các bi?u hi?n xúc ph?m trong các cu?c th?o lu?n c?a chúng tôi.,Th?o lu?n
35,Tôi có th? xúc ph?m ng??i ph?i ng?u c?a mình trong các cu?c th?o lu?n c?a chúng tôi.,Th?o lu?n
36,Tôi có th? b? s? nh?c khi chúng tôi th?o lu?n.,Th?o lu?n
37,Cu?c th?o lu?n c?a tôi v?i ng??i ph?i ng?u c?a tôi không bình t?nh.,Th?o lu?n
42,"Khi tôi cãi nhau v?i v? / ch?ng, tôi ch? ?i ra ngoài và tôi không nói m?t l?i nào.",Th?o lu?n
43,Tôi ch? y?u gi? im l?ng ?? làm d?u môi tr??ng m?t chút.,Th?o lu?n
52,Tôi s? không ng?n ng?i nói v?i v? / ch?ng c?a tôi v? s? b?t c?p c?a cô ?y / anh ?y.,Th?o lu?n
53,"Khi tôi th?o lu?n, tôi nh?c nh? v? / ch?ng c?a tôi v? s? b?t c?p c?a cô ?y / anh ?y.",Th?o lu?n
54,Tôi không ng?i nói v?i v? / ch?ng mình v? s? b?t tài c?a anh ?y / cô ?y.,Th?o lu?n
